상체근육초급,0,1,18,15,0,60,8,10,0,60,9,30,0,60,18,15,0,60,8,10,0,60,9,30,0,60,8,10,15,5,0
상체근육중급,0,10,4,15,0,60,12,10,0,60,10,30,0,60,4,15,0,60,12,10,0,60,10,30,0,60,4,15,0,60,12,30,20,8,0
상체근육상급,0,10,1,12,0,60,12,15,0,60,11,8,0,60,1,12,0,60,12,15,0,60,11,8,0,60,1,12,0,60,12,15,0,60,11,8,25,10,0
코어근육초급,0,10,3,8,0,60,18,12,0,60,9,20,0,60,3,8,0,60,18,12,0,60,9,20,0,60,18,12,0,60,9,20,5,15,0
코어근육중급,0,10,14,10,0,60,4,10,0,60,6,10,0,60,14,10,0,60,4,10,0,60,6,10,0,60,4,10,8,20,0
코어근육상급,0,10,6,13,0,60,7,10,0,60,1,12,0,60,6,13,0,60,7,10,0,60,1,12,0,60,6,13,0,60,7,10,0,60,1,12,10,25,0
하체근육초급,0,10,2,10,0,60,8,10,0,60,5,10,0,60,2,10,0,60,8,15,0,60,5,15,0,60,2,15,0,0,15
하체근육중급,0,10,13,10,0,60,15,12,0,60,16,12,0,60,13,10,0,60,15,12,0,60,16,12,0,60,13,10,0,0,20
하체근육상급,0,10,13,15,0,60,16,15,0,60,15,15,0,60,13,15,0,60,16,15,0,60,15,15,0,60,13,15,0,60,16,15,0,60,15,15,0,0,25
전신근육초급,0,10,4,8,0,60,8,10,0,60,9,20,0,60,4,8,0,60,8,10,0,60,9,20,0,60,8,10,8,8,8
전신근육중급,0,10,10,8,0,60,12,8,0,60,16,8,0,60,10,8,0,60,12,8,0,60,16,8,0,60,12,8,0,60,16,8,10,10,10
전신근육상급,0,10,11,8,0,60,12,15,0,60,15,15,0,60,11,8,0,60,12,15,0,60,15,15,0,60,11,8,0,60,12,15,0,60,15,15,15,15,15
매일루틴초급,0,10,5,20,0,10,9,20,0,10,5,20,0,10,9,20,5,5,5
매일루틴중급,0,10,13,10,0,10,8,10,0,60,13,10,0,10,8,10,5,5,5
매일루틴상급,0,10,11,8,0,10,13,10,0,60,11,8,0,10,13,10,5,5,5
다이어트초급,0,10,5,20,0,10,9,20,0,60,5,20,0,10,9,20,0,60,8,10,0,10,5,20,0,60,8,10,0,10,5,20,0,60,8,10,0,10,5,20,0,60,2,12,0,10,18,20,0,60,2,12,0,10,18,20,15,15,15
다이어트중급,0,10,5,30,0,10,9,30,0,10,8,10,0,60,5,30,0,10,9,30,0,10,8,10,0,60,5,30,0,10,9,30,0,10,8,10,0,60,10,10,0,10,8,15,0,10,16,8,0,60,10,10,0,10,8,15,0,10,16,8,0,60,12,10,0,10,5,20,0,10,15,15,0,60,12,10,0,10,5,20,0,10,15,15,0,60,12,10,0,10,5,20,0,10,15,15,20,20,20
다이어트상급,0,10,1,12,0,10,10,10,0,10,13,12,0,60,11,10,0,10,13,12,0,10,16,12,0,60,12,12,0,10,5,20,0,10,15,12,0,60,1,12,0,10,10,10,0,10,13,12,0,60,11,10,0,10,13,12,0,10,16,12,0,60,12,12,0,10,5,20,0,10,15,12,0,60,1,12,0,10,10,10,0,10,13,12,0,60,11,10,0,10,13,12,0,10,16,12,0,60,12,12,0,10,5,20,0,10,15,12,25,25,25
SetEnglishNames
상체근육초급,uppereasy
상체근육중급,uppermedium
상체근육상급,upperhard
코어근육초급,coreeasy
코어근육중급,coremedium
코어근육상급,corehard
하체근육초급,lowereasy
하체근육중급,lowermedium
하체근육상급,lowerhard
전신근육초급,wholebodyeasy
전신근육중급,wholebodymedium
전신근육상급,wholebodyhard
매일루틴초급,everydayeasy
매일루틴중급,everydaymedium
매일루틴상급,everydayhard
다이어트초급,dieteasy
다이어트중급,dietmedium
다이어트상급,diethard
